epoch,train_loss,val_auc,lr
0,0.3792,0.4462,2.00e-04
1,0.1957,0.5128,2.00e-04
2,0.1607,0.5150,2.00e-04
3,0.1449,0.5730,2.00e-04
4,0.1309,0.5258,2.00e-04
5,0.1167,0.5717,2.00e-04
6,0.1070,0.6392,2.00e-04
7,0.1032,0.6258,2.00e-04
8,0.1008,0.6444,2.00e-04
9,0.1002,0.6874,2.00e-04
10,0.0987,0.6815,2.00e-04
11,0.0977,0.6693,2.00e-04
12,0.0968,0.6889,2.00e-04
13,0.0960,0.6600,2.00e-04
14,0.0942,0.6750,2.00e-04
15,0.0934,0.7078,2.00e-04
16,0.0937,0.7058,2.00e-04
17,0.0936,0.7039,2.00e-04
18,0.0924,0.6970,2.00e-04
19,0.0935,0.7152,2.00e-04
20,0.0924,0.7144,2.00e-04
21,0.0928,0.6968,2.00e-04
22,0.0920,0.7110,2.00e-04
23,0.0920,0.7222,2.00e-04
24,0.0914,0.7142,2.00e-04
25,0.0912,0.7110,2.00e-04
26,0.0907,0.7146,2.00e-04
27,0.0906,0.7129,2.00e-04
28,0.0900,0.7195,2.00e-04
29,0.0898,0.7213,2.00e-04
30,0.0890,0.7222,1.00e-04
31,0.0894,0.7174,1.00e-04
32,0.0887,0.7206,1.00e-04
33,0.0878,0.7212,1.00e-04
